Timestamp,answer to Q1,answer to Q2,answer to Q3,answer to Q4,answer to Q5,respondent's age,respondent's gender (optional),respondent's occupation
5/2/2023 20:15:59,2,5,9,Approach 3,No,21,Male,Student
5/2/2023 20:26:13,2,5,9,Approach 3,No,19,Male,Student
5/2/2023 20:30:31,1,3,5,3,No,22,Female ,Full time student 
5/2/2023 20:33:41,7,1,9,Difference-removing feminism,No,20,Female,Student / Desk Operations Supervisor
5/2/2023 20:36:49,6,2,8,Approach 3,No,23,Male,Student
5/2/2023 20:50:21,2,5,6,Difference honoring,No,21,Female,Student
5/2/2023 21:43:56,3,4,10,1,No,23,Female,Information systems analyst
5/2/2023 21:52:47,1,1,10,3,Yes,55,Female,Software Consultant 
5/2/2023 22:28:55,3,9,3,Difference-honoring.,No,60,Male,Information Officer.
5/2/2023 22:33:25,3,3,10,difference removing ,No,20,Male,Student 
5/2/2023 22:36:04,,,,,,,,
